IdSeller,Seller,id_loja,Role,Wage
1,Aaliyah Harris,358,Sales consultant,1400
2,Aaliyah Lewis,783,Sales consultant,1400
3,Aaliyah Morris,655,Sales consultant,1400
4,Aaliyah Williams,282,Sales Manager,2500
5,Abigail Allen,331,Sales consultant,1400
6,Abigail Hernandez,498,Sales consultant,1400
7,Abigail Jones,283,Sales consultant,1400
8,Abigail Martin,498,Sales consultant,1400
9,Abigail Robinson,284,Sales consultant,1400
10,Addison Anderson,330,Sales consultant,1400
11,Addison Rodriguez,350,Sales consultant,1400
12,Addison Scott,320,Sales consultant,1400
13,Addison Smith,350,Sales consultant,1400
14,Addison White,352,Sales consultant,1400
15,Aiden Adams,326,Sales consultant,1400
16,Aiden King,320,Sales consultant,1400
17,Aiden Sanchez,285,Sales consultant,1400
18,Alexander Cook,353,Sales consultant,1400
19,Alexander Garcia,773,Sales consultant,1400
20,Alexander Roberts,329,Sales consultant,1400
21,Allison Jones,335,Sales consultant,1400
22,Allison Lopez,285,Sales consultant,1400
23,Allison Martinez,320,Sales consultant,1400
24,Allison Scott,326,Sales consultant,1400
25,Allison Wilson,335,Sales consultant,1400
26,Amelia Clark,349,Sales consultant,1400
27,Amelia Reed,354,Sales consultant,1400
28,Amelia Roberts,356,Sales consultant,1400
29,Amelia Smith,543,Sales consultant,1400
30,Anna Edwards,320,Sales consultant,1400
31,Anna Jones,356,Sales consultant,1400
32,Anna Parker,704,Sales consultant,1400
33,Anna Roberts,320,Sales consultant,1400
34,Anna Rodriguez,324,Sales consultant,1400
35,Anthony Edwards,331,Sales consultant,1400
36,Anthony Perez,324,Sales consultant,1400
37,Anthony Rogers,358,Sales consultant,1400
38,Anthony Walker,319,Sales consultant,1400
39,Aria Campbell,334,Sales consultant,1400
40,Aria Moore,346,Sales consultant,1400
41,Aria Rodriguez,320,Sales consultant,1400
42,Aria Walker,331,Sales consultant,1400
43,Aria Wright,350,Sales consultant,1400
44,Asher Clark,334,Sales consultant,1400
45,Asher King,704,Sales consultant,1400
46,Asher Martin,338,Sales consultant,1400
47,Asher Rogers,773,Sales consultant,1400
470,Ashley Colin,322,Sales consultant,1400
467,Ashley Moon,282,Sales consultant,1400
466,Ashley Rivers,704,Sales consultant,1400
465,Ashley Stones,322,Sales Manager,2500
468,Ashley Waters,322,Sales consultant,1400
469,Ashley Young,327,Sales consultant,1400
48,Aubrey Lewis,359,Sales consultant,1400
49,Aubrey Mitchell,282,Sales consultant,1400
50,Aubrey Parker,335,Sales consultant,1400
51,Aubrey Thompson,339,Sales consultant,1400
52,Aubrey Wright,329,Sales consultant,1400
53,Audrey Campbell,337,Sales consultant,1400
54,Audrey Gonzalez,326,Sales consultant,1400
55,Audrey Lee,321,Sales consultant,1400
56,Audrey Miller,784,Sales consultant,1400
57,Audrey Thomas,338,Sales consultant,1400
58,Aurora Campbell,334,Sales consultant,1400
59,Aurora Lewis,324,Sales consultant,1400
60,Aurora Martin,338,Sales consultant,1400
61,Aurora Phillips,320,Sales Manager,2500
62,Aurora Smith,333,Sales consultant,1400
63,Ava Garcia,654,Sales consultant,1400
64,Ava Johnson,349,Sales consultant,1400
65,Ava Ramirez,773,Sales consultant,1400
66,Ava Roberts,283,Sales consultant,1400
67,Ava Taylor,347,Sales consultant,1400
68,Bella Gonzalez,348,Sales consultant,1400
69,Bella Morris,285,Sales consultant,1400
70,Bella Murphy,331,Sales consultant,1400
71,Bella Sanchez,498,Sales consultant,1400
72,Bella Thomas,336,Sales consultant,1400
73,Benjamin Green,334,Sales consultant,1400
74,Benjamin Lewis,336,Sales consultant,1400
75,Benjamin Martinez,356,Sales consultant,1400
76,Benjamin Moore,332,Sales consultant,1400
77,Brooklyn Allen,332,Sales consultant,1400
78,Brooklyn Green,392,Sales consultant,1400
79,Brooklyn Sanchez,654,Sales consultant,1400
